datacenter_id;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;inactive_duration;idle_intervals;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;idle_power;active_power;
3;73600.48252767278;1;storage;900000.0;32768.0;178.49756240762832;1.0000125760114886:;1035.2858619642443;3.000037728034466;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;2;storage;900000.0;20992.0;106.08532178424909;1.0000001428057186:;615.2948663486447;3.000000428417156;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;3;storage;900000.0;19968.0;106.08692952127862;1.0000002423842134:;615.304191223416;3.0000007271526403;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;4;storage;900000.0;19456.0;129.37383780418781;1.000000266207527:;750.3682592642893;3.0000007986225805;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;5;storage;900000.0;31232.0;162.97380332361428;1.0000005716485505:;945.2480592769627;3.0000017149456513;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;6;storage;900000.0;45056.0;227.63343473234139;1.0000006062818523:;1320.27392144758;3.000001818845557;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;7;storage;900000.0;26624.0;134.5388262121174;1.000000658924062:;780.3251920302808;3.000001976772186;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;8;storage;900000.0;21504.0;108.68366897713608;1.000000674801665:;630.3652800673891;3.0000020244049947;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;9;storage;900000.0;15872.0;80.22592013014119;1.000000783613096:;465.31033675481893;3.0000023508392877;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;10;storage;900000.0;30208.0;152.63530633145592;1.0000008628027166:;885.2847767224441;3.00000258840815;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;11;storage;900000.0;22528.0;126.77529338962488;1.0000008683049417:;735.2967016598243;3.000002604914825;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;12;storage;900000.0;18432.0;93.14775649194371;1.000001519557478:;540.2569876532735;3.000004558672434;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;13;storage;900000.0;27136.0;137.09913306993852;1.0000015872468404:;795.1749718056434;3.000004761740521;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;14;storage;900000.0;18432.0;93.14981690293669;1.0000021732618813:;540.2689380370329;3.000006519785644;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;15;storage;900000.0;31744.0;160.38747129119832;1.0000021796934753:;930.2473334889503;3.0000065390804256;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;16;storage;900000.0;18944.0;111.26192895615124;1.0000022302433296:;645.3191879456772;3.0000066907299887;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;17;storage;900000.0;23552.0;119.00140266096778;1.000002289115458:;690.2081354336132;3.0000068673463742;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;18;storage;900000.0;13824.0;69.87200929618444;1.0000024667415033:;405.25765391786973;3.0000074002245096;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;19;storage;900000.0;20480.0;103.4871952012644;1.000002656260419:;600.2257321673335;3.000007968781257;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;20;storage;900000.0;51200.0;258.6503666997878;1.0000030928663866:;1500.1721268587696;3.0000092785991597;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;21;storage;900000.0;18432.0;93.14176528399449;1.000003154060657:;540.222238647168;3.0000094621819713;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;22;storage;900000.0;28160.0;142.2835388054247;1.0000034727844775:;825.2445250714633;3.0000104183534324;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;23;storage;900000.0;19968.0;116.43359062680781;1.000003577899569:;675.3148256354852;3.000010733698707;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;24;storage;900000.0;14336.0;72.45982510071102;1.0000038064826486:;420.2669855841239;3.000011419447946;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;25;storage;900000.0;43520.0;235.3792546270989;1.0000039370276905:;1365.1996768371735;3.0000118110830716;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;26;storage;900000.0;17920.0;90.56746058799497;1.0000040584982886:;525.2912714103708;3.0000121754948657;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;27;storage;900000.0;22016.0;111.25215430334518;1.0000040924567242:;645.262494959402;3.0000122773701725;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;28;storage;900000.0;22528.0;113.8400056335934;1.000004144729934:;660.2720326748416;3.000012434189802;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;29;storage;900000.0;29184.0;147.44060582392163;1.000004400454633:;855.1555137787453;3.000013201363899;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;30;storage;900000.0;15872.0;80.211229727333;1.0000044043043512:;465.2251324185314;3.0000132129130535;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;31;storage;900000.0;22016.0;111.2461506391981;1.0000045001511628:;645.227673707349;3.0000135004534885;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;32;storage;900000.0;17920.0;90.56521816062329;1.0000045502285437:;525.278265331615;3.000013650685631;0.003;0.004;198.0;3.0;5.8;
3;73600.48252767278;33;storage;900000.0;20992.0;106.07326024678011;1.0000048133263466:;615.2249094313246;3.00001443997904;0.003;0.004;198.0;3.0;5.8;
