datacenter_name;host_id;type;number_of_pes;available_pes;mips;available_mips;ram;available_ram;bw;available_bw;power_model;vms;
Datacenter_1;0;host;4;2;40000;21000;160000;628;10000;9820;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,12:2,500.0,8388,12:2,500.0,8388,12:2,500.0,8388,11:2,500.0,8388,10:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,10:2,500.0,8388,11:2,500.0,8388,9:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;1;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;2;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;3;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;4;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;5;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;6;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:;
Datacenter_1;7;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;8;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;9;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;10;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;11;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
