time;datacenter_name;host_id;type;active;number_of_pes;available_pes;mips;available_mips;ram;available_ram;bw;available_bw;power_model;vms;
300.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
600.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
900.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
1200.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
1500.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
1800.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
2100.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
2400.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
2700.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
3000.01;Datacenter_1;0;host;true;4;1;10000;0.0;160000;83880.0;10000;111.0;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,12.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,11.0:2,1000.0,8388.0,10.0:;
